Stock,Observations,AIC,BIC,LogLikelihood
AXISBANK.NS,2468,9862.729006757527,9903.407150452704,-4924.364503378763
COFORGE.NS,2468,11162.061619638436,11202.739763333613,-5574.030809819218
FEDERALBNK.NS,2468,10661.923998778893,10702.60214247407,-5323.961999389447
GAIL.NS,2468,10314.944198137602,10355.622341832779,-5150.472099068801
HDFCBANK.NS,2468,8092.031500838419,8132.709644533596,-4039.0157504192093
INFY.NS,2468,9264.715817400189,9305.393961095366,-4625.357908700094
ONGC.NS,2468,10059.931551750433,10100.60969544561,-5022.965775875216
RELIANCE.NS,2468,9200.352667733057,9241.030811428234,-4593.176333866529
SBIN.NS,2468,10147.033155449879,10187.711299145056,-5066.516577724939
TATAPOWER.NS,2716,11021.594022309322,11062.942430730072,-5503.797011154661
TECHM.NS,2468,9824.991261974365,9865.669405669541,-4905.495630987182
WIPRO.NS,2468,9167.208804031518,9207.886947726694,-4576.604402015759
